topic_bucket,symbol,timing_regime,event_count,median_ret_60m,median_abs_ret_60m,mean_abs_ret_60m_slot_percentile,median_peak_abs_ret_24h,reversion_rate_5d,median_reversion_minutes_after_first_trade,median_reversion_minutes_from_event
domestic_politics_attacks,QQQ,delayed,109,0.001415979889903607,0.004886117342864704,0.9533898305084746,0.013992927487737172,0.7247706422018348,1785.0,3407.0
domestic_politics_attacks,SLV,delayed,109,0.0028985507246377384,0.00881325026591706,0.9554401312192455,0.023658395845354896,0.7247706422018348,1440.0,2333.0
domestic_politics_attacks,SPY,delayed,109,0.0007180539273152764,0.0032944044540348383,0.8050847457627119,0.00993497371431884,0.6880733944954128,1920.0,2687.0
domestic_politics_attacks,UNG,delayed,109,-0.006926952141057985,0.014705882352941124,0.9269431921053339,0.04471032745591941,0.5504587155963303,1695.0,2641.5
domestic_politics_attacks,USO,delayed,109,-0.0008003201280512018,0.007642393655371338,0.8669735768896378,0.018726039516366755,0.6330275229357798,1660.0,2709.0
other,GLD,immediate,1365,0.00018079259473546827,0.0012827768345593515,0.4973149524793954,0.010091590341382073,0.6432234432234433,1992.5,1996.0
other,QQQ,immediate,1365,8.992805755392297e-05,0.001177475584697385,0.5029616224346948,0.009729111026325898,0.7018315018315018,1697.5,1701.0
other,SLV,immediate,1365,0.0002279981760144878,0.002019036631093263,0.4892236824421874,0.015983149547763587,0.6395604395604395,2175.0,2178.0
other,SPY,immediate,1365,6.654909659609132e-05,0.0009129593810446313,0.5091708916856256,0.007322438253834829,0.6923076923076923,1580.0,1583.0
other,UNG,immediate,1365,0.0,0.004173622704507607,0.5351185952167029,0.028762541806020225,0.7076923076923077,1625.0,1626.0
other,USO,immediate,1365,0.0,0.0022573363431152016,0.5152737874615161,0.01615466101694918,0.6747252747252748,1905.0,1905.0
other,GLD,delayed,1068,0.0019782922525797275,0.005729064361945868,0.9282657026525764,0.013523012552301372,0.5636704119850188,1450.0,2711.5
other,QQQ,delayed,1068,5.686556979322965e-05,0.004685754306391732,0.8695312118171393,0.012377753139944714,0.7368913857677902,1785.0,3251.0
other,SLV,delayed,1068,0.004283965728274275,0.00999432140829093,0.9179104361398377,0.02151051625239009,0.6198501872659176,1445.0,2954.5
other,SPY,delayed,1068,0.00016674170043184944,0.0031193137509748503,0.8346419717434077,0.009161599530508768,0.7144194756554307,1860.0,3271.0
other,UNG,delayed,1068,-0.0021676300578034047,0.014001708604628182,0.8808249186235599,0.04090354090354098,0.5290262172284644,1650.0,2849.0
other,USO,delayed,1068,0.0006934812760057696,0.006882312456985562,0.8309766917514056,0.020248568635665487,0.7050561797752809,1595.0,2872.0
