threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
p80,0.8,MES,30,1.0,12,1117,0.5389435989256938,0.33746678476527525,0.12444820669865994,139.00864688240316,1.3256271596851432,0.4941808415398389,0.341987466427932,0.1638316920322292,300.0,0.004100487037439926,0.9830508474576272,1075.0,1045.0,0.004100487037440034,1.0,0.6078184110970982,1.0,0.5980304386750224
p80,0.8,MES,30,1.0,24,1117,0.5595344673231871,0.4306498545101871,0.1401002058743865,156.49192996168972,1.3708935866780494,0.4986571172784244,0.35362578334825423,0.1477170993733214,300.0,0.004100487037439926,0.9830508474576272,1075.0,1045.0,0.004100487037440034,1.0,0.6454545454544618,1.0,0.5980304386750224
p80,0.8,MES,60,0.75,12,1055,0.5127962085308057,0.21103117505994393,0.20599119607982289,217.32071186421314,1.4840522704223722,0.45687203791469194,0.404739336492891,0.13838862559241707,290.0,0.004530969174306287,0.9836065573770492,1128.0,1068.0,0.003398226880729788,1.3333333333333333,0.5772357723577713,0.96095444685465,0.6085308056872037
p80,0.8,MES,60,0.75,24,1055,0.5118483412322274,0.4666001994017947,0.21165441732075616,223.29541027339775,1.4887543867698652,0.4597156398104265,0.404739336492891,0.13554502369668248,290.0,0.004530969174306287,0.9836065573770492,1128.0,1068.0,0.003398226880729788,1.3333333333333333,0.5776566757493086,0.96095444685465,0.6085308056872037
p80,0.8,MES,60,1.0,12,1055,0.5706161137440758,1.0,0.18037634713447329,190.29704622686933,1.5144600314357113,0.5127962085308057,0.31563981042654027,0.17156398104265402,300.0,0.004530969174306287,0.9836065573770492,1128.0,1068.0,0.004530969174306384,1.0,0.5772357723577713,1.0020366598777986,0.6085308056872037
p80,0.8,MES,60,1.0,24,1055,0.5819905213270142,1.0,0.1978426242137619,208.7239685455188,1.5744372184292739,0.5175355450236967,0.31563981042654027,0.16682464454976303,300.0,0.004530969174306287,0.9836065573770492,1128.0,1068.0,0.004530969174306384,1.0,0.5776566757493086,1.0020366598777986,0.6085308056872037
p80,0.8,MES,90,0.75,12,966,0.531055900621118,0.09324009324011276,0.1883133413244641,181.9106877194323,1.4371086313125745,0.4451345755693582,0.40372670807453415,0.15113871635610765,265.0,0.004864720778355203,0.9661016949152542,1152.0,1062.0,0.0036485405837664423,1.3333333333333333,0.5582329317269001,0.9359361518550389,0.6159420289855072
p80,0.8,MES,90,0.75,24,966,0.5300207039337475,0.5813715455475945,0.206101465039479,199.0940152281367,1.4697468846160244,0.44824016563146996,0.41511387163561075,0.13664596273291926,265.0,0.004864720778355203,0.9661016949152542,1152.0,1062.0,0.0036485405837664423,1.3333333333333333,0.5759162303664793,0.9529379259532262,0.6159420289855072
p80,0.8,MES,90,1.0,12,966,0.567287784679089,0.46950354609929035,0.12393156514532234,119.71789193038138,1.3290388265652644,0.4813664596273292,0.3333333333333333,0.18530020703933747,265.0,0.004864720778355203,0.9661016949152542,1152.0,1062.0,0.0048647207783552564,1.0,0.5582329317269001,0.9795221843003405,0.6159420289855072
p80,0.8,MES,90,1.0,24,966,0.5797101449275363,0.6042553191489339,0.15076898190311264,145.6428365184068,1.4075689156767308,0.484472049689441,0.3333333333333333,0.18219461697722567,265.0,0.004864720778355203,0.9661016949152542,1152.0,1062.0,0.0048647207783552564,1.0,0.5759162303664793,1.0,0.6159420289855072
p80,0.8,MNQ,30,0.75,12,1112,0.5296762589928058,1.3333333333333333,0.2722811988122934,302.7766930792703,1.6295897452389356,0.5278776978417267,0.4181654676258993,0.0539568345323741,210.0,0.005874673629242766,0.9833287024173382,1089.5,1059.5,0.004406005221932143,1.3333333333333333,0.5857359635811829,1.0198675496688938,0.6070143884892086
p80,0.8,MNQ,30,0.75,24,1112,0.560251798561151,1.3333333333333333,0.28655797147605805,318.6524642813765,1.6724783087250004,0.5278776978417267,0.4181654676258993,0.0539568345323741,210.0,0.005874673629242766,0.9833287024173382,1089.5,1059.5,0.004406005221932143,1.3333333333333333,0.5857359635811829,1.0198675496688938,0.6070143884892086
p80,0.8,MNQ,30,1.0,12,1112,0.6879496402877698,1.0,0.41295214155604537,459.2027814103225,2.5643948872298674,0.6744604316546763,0.23741007194244604,0.08812949640287769,210.0,0.005874673629242766,0.9833287024173382,1089.5,1059.5,0.005874673629242857,1.0,0.5857359635811829,1.0435097897026848,0.6070143884892086
p80,0.8,MNQ,30,1.0,24,1112,0.7185251798561151,1.0,0.4358876287162034,484.70704313241816,2.696747959773365,0.6861510791366906,0.23741007194244604,0.0764388489208633,210.0,0.005874673629242766,0.9833287024173382,1089.5,1059.5,0.005874673629242857,1.0,0.5857359635811829,1.0435097897026848,0.6070143884892086
p80,0.8,MNQ,60,0.75,12,1063,0.625587958607714,1.3333333333333333,0.4979071333786898,529.2752827815473,2.5005737111287183,0.6218250235183443,0.3198494825964252,0.05832549388523048,180.0,0.005828751287182632,1.0,1081.0,1021.0,0.0043715634653869314,1.3333333333333333,0.45275805570726624,1.0258620689654931,0.5888993414863594
p80,0.8,MNQ,60,0.75,24,1063,0.6575729068673566,1.3333333333333333,0.5117138558887404,543.9518288097311,2.5651321890122727,0.6218250235183443,0.3198494825964252,0.05832549388523048,180.0,0.005828751287182632,1.0,1081.0,1021.0,0.0043715634653869314,1.3333333333333333,0.45275805570726624,1.0258620689654931,0.5888993414863594
p80,0.8,MNQ,60,1.0,12,1063,0.6980244590780809,1.0,0.4388698018787484,466.51859939710954,2.8029170503570167,0.6801505174035748,0.21919096895578552,0.1006585136406397,180.0,0.005828751287182632,1.0,1081.0,1021.0,0.0058287512871825755,1.0,0.45275805570726624,1.045454545454579,0.5888993414863594
