threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,event_day_bucket,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share
p80,0.8,MNQ,weekday,30,1.0,24,437,0.6773455377574371,1.0,0.376710851116043,164.6226419377108,2.300269285934265,0.6636155606407322,0.2723112128146453,0.06407322654462243,210.0,0.004440383443942264,0.9830508474576272,420.0,390.0,0.004440383443942315,1.0,0.5294117647058902,1.0601092896174962,0.0
p80,0.8,MNQ,weekday,60,0.75,12,437,0.6407322654462243,1.3333333333333333,0.50785824837927,221.93405454174095,2.51260391232784,0.631578947368421,0.32494279176201374,0.043478260869565216,180.0,0.0046137787056366175,0.9836065573770492,461.0,401.0,0.003460334029227525,1.3333333333333333,0.43526170798896124,1.0443458980044364,0.0
p80,0.8,MNQ,weekday,60,0.75,24,437,0.6498855835240275,1.3333333333333333,0.5130264437377439,224.19255591339407,2.5404821629349974,0.631578947368421,0.32494279176201374,0.043478260869565216,180.0,0.0046137787056366175,0.9836065573770492,461.0,401.0,0.003460334029227525,1.3333333333333333,0.43526170798896124,1.0443458980044364,0.0
p80,0.8,MNQ,weekday,60,1.0,12,437,0.7185354691075515,1.0,0.4631968119461393,202.4170068204629,2.8938797811797503,0.7048054919908466,0.22654462242562928,0.06864988558352403,180.0,0.0046137787056366175,0.9836065573770492,461.0,401.0,0.004613778705636701,1.0,0.43526170798896124,1.0611764705882332,0.0
p80,0.8,MNQ,weekday,60,1.0,24,437,0.7345537757437071,1.0,0.4730771442036928,206.73471201701375,2.9616492042951084,0.7093821510297483,0.22654462242562928,0.06407322654462243,180.0,0.0046137787056366175,0.9836065573770492,461.0,401.0,0.004613778705636701,1.0,0.43526170798896124,1.0611764705882332,0.0
p80,0.8,MNQ,weekday,90,0.75,12,402,0.6343283582089553,1.3333333333333333,0.47497967164164545,190.94182799994147,2.3621047546816087,0.6144278606965174,0.32338308457711445,0.06218905472636816,150.0,0.005019700976952479,0.9491525423728814,489.5,399.5,0.003764775732714368,1.3333333333333333,0.4160919540229738,1.0405405405405033,0.0
p80,0.8,MNQ,weekday,90,0.75,24,402,0.6293532338308457,1.3333333333333333,0.48433145848439735,194.70124631072773,2.41202641646511,0.6144278606965174,0.32338308457711445,0.06218905472636816,150.0,0.005019700976952479,0.9491525423728814,489.5,399.5,0.003764775732714368,1.3333333333333333,0.4160919540229738,1.0405405405405033,0.0
p80,0.8,MNQ,weekday,90,1.0,12,402,0.7139303482587065,1.0,0.443348632402413,178.22615022577003,2.745324964543497,0.6940298507462687,0.23134328358208955,0.07462686567164178,150.0,0.005019700976952479,0.9491525423728814,489.5,399.5,0.0050197009769524905,1.0,0.4160919540229738,1.0608899297423853,0.0
p80,0.8,MNQ,weekday,90,1.0,24,402,0.7164179104477612,1.0,0.4558999881021172,183.2717952170511,2.846895091903095,0.6940298507462687,0.23134328358208955,0.07462686567164178,150.0,0.005019700976952479,0.9491525423728814,489.5,399.5,0.0050197009769524905,1.0,0.4160919540229738,1.0608899297423853,0.0
p80,0.8,MNQ,weekend,30,0.75,12,675,0.5170370370370371,1.3333333333333333,0.2543661681970139,171.69716353298438,1.5847275683023856,0.5170370370370371,0.4192592592592593,0.0637037037037037,210.0,0.006271765768089743,1.0,1856.0,1826.0,0.004703824326067313,1.3333333333333333,0.6399506781750991,1.0197287299630118,1.0
