threshold_label,min_entry_abs_ret_slot_percentile,futures_symbol,entry_window_minutes,stop_units,time_stop_hours,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,target_rate,stop_rate,time_stop_rate,median_hold_minutes,median_entry_abs_return,median_entry_abs_ret_slot_percentile,median_event_to_entry_minutes,median_anchor_delay_minutes,median_risk_distance_abs_return,median_reward_to_target_r,median_max_adverse_units,median_max_favorable_units,weekend_trade_share,ranking_bucket
p90,0.9,MNQ,30,0.75,24,1002,0.562874251497006,1.3333333333333333,0.29040498763943123,290.9857976147101,1.6881570584155532,0.5269461077844312,0.41317365269461076,0.059880239520958084,210.0,0.0060735851706219535,1.0,1175.5,1145.5,0.004555188877966476,1.3333333333333333,0.5857359635811829,1.0254607333204668,0.6467065868263473,best
p80,0.8,MNQ,30,0.75,24,1112,0.560251798561151,1.3333333333333333,0.28655797147605805,318.6524642813765,1.6724783087250004,0.5278776978417267,0.4181654676258993,0.0539568345323741,210.0,0.005874673629242766,0.9833287024173382,1089.5,1059.5,0.004406005221932143,1.3333333333333333,0.5857359635811829,1.0198675496688938,0.6070143884892086,best
p90,0.9,MES,60,0.75,24,807,0.5390334572490706,0.7363494539781605,0.2804156261132558,226.29541027339747,1.7209930067387869,0.4708798017348203,0.35192069392812886,0.1771995043370508,330.0,0.0059827527183216045,1.0,1137.0,1077.0,0.004487064538741266,1.3333333333333333,0.5573529411764857,1.0,0.6084262701363073,best
p90,0.9,MNQ,30,0.75,12,1002,0.5289421157684631,1.3333333333333333,0.2745609046033971,275.1100264126039,1.6399230685789161,0.5269461077844312,0.41317365269461076,0.059880239520958084,210.0,0.0060735851706219535,1.0,1175.5,1145.5,0.004555188877966476,1.3333333333333333,0.5857359635811829,1.0254607333204668,0.6467065868263473,best
p80,0.8,CL,90,0.75,24,648,0.49228395061728397,-0.21176470588234947,-0.013606780906251321,-8.817194027250856,0.9725132625080348,0.26697530864197533,0.4691358024691358,0.2638888888888889,260.0,0.015506856337305974,0.9649122807017544,1012.0,922.0,0.011630142252979562,1.3333333333333333,0.7030529953916871,0.8110091743119265,0.5462962962962963,worst
p80,0.8,CL,90,0.75,12,649,0.5269645608628659,0.08523592085235937,0.006976618276935421,4.527825261731088,1.0166396344221573,0.24191063174114022,0.3898305084745763,0.3682588597842835,260.0,0.015506856337305974,0.9649122807017544,1012.0,922.0,0.011630142252979562,1.3333333333333333,0.4628099173553762,0.7193932827735646,0.5454545454545454,worst
p90,0.9,CL,30,0.75,24,756,0.47619047619047616,-0.05797101449275601,0.0880387674785819,66.55730821380791,1.1918184164817134,0.38756613756613756,0.42328042328042326,0.18915343915343916,210.0,0.011636363636363667,0.9836065573770492,1116.0,1086.0,0.008727272727272696,1.3333333333333333,0.5555555555555446,0.7580645161290248,0.6216931216931217,worst
p90,0.9,CL,30,0.75,12,756,0.49074074074074076,-0.010582010582000916,0.10284514099391957,77.7509265914032,1.2385674428405375,0.36904761904761907,0.41798941798941797,0.21296296296296297,210.0,0.011636363636363667,0.9836065573770492,1116.0,1086.0,0.008727272727272696,1.3333333333333333,0.46666666666669615,0.7301587301587286,0.6216931216931217,worst
p80,0.8,CL,30,0.75,24,847,0.4817001180637544,-0.05797101449275601,0.10337344535278413,87.55730821380816,1.224516969814597,0.4025974025974026,0.42857142857142855,0.16883116883116883,205.0,0.010765090349865503,0.9824561403508771,1002.0,972.0,0.00807381776239911,1.3333333333333333,0.5454545454545366,0.7638888888889059,0.5749704840613932,worst
p80,0.8,CL,60,1.0,24,730,0.584931506849315,0.2994652406417117,0.1098635195004179,80.20036923530506,1.3024629266828498,0.410958904109589,0.32054794520547947,0.2684931506849315,290.0,0.013895781637716986,0.9649122807017544,1001.5,941.5,0.013895781637717002,1.0,0.5000000000000111,0.8472461273666125,0.5726027397260274,worst
p80,0.8,CL,30,0.75,12,847,0.4946871310507674,-0.010582010582000916,0.11658905146564755,98.75092659140347,1.2676847663332182,0.3860684769775679,0.42384887839433294,0.19008264462809918,205.0,0.010765090349865503,0.9824561403508771,1002.0,972.0,0.00807381776239911,1.3333333333333333,0.46666666666669615,0.7301587301587286,0.5749704840613932,worst
p80,0.8,MES,90,1.0,12,966,0.567287784679089,0.46950354609929035,0.12393156514532234,119.71789193038138,1.3290388265652644,0.4813664596273292,0.3333333333333333,0.18530020703933747,265.0,0.004864720778355203,0.9661016949152542,1152.0,1062.0,0.0048647207783552564,1.0,0.5582329317269001,0.9795221843003405,0.6159420289855072,worst
p80,0.8,MES,30,1.0,12,1117,0.5389435989256938,0.33746678476527525,0.12444820669865994,139.00864688240316,1.3256271596851432,0.4941808415398389,0.341987466427932,0.1638316920322292,300.0,0.004100487037439926,0.9830508474576272,1075.0,1045.0,0.004100487037440034,1.0,0.6078184110970982,1.0,0.5980304386750224,worst
p80,0.8,CL,90,1.0,24,648,0.6157407407407407,0.4272727272727257,0.130665489072731,84.6712369191297,1.370686312003015,0.3888888888888889,0.27469135802469136,0.33641975308641975,280.0,0.015506856337305974,0.9649122807017544,1012.0,922.0,0.015506856337306084,1.0,0.7030529953916871,0.864197530864181,0.5462962962962963,worst
