strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
fade_credit_24h,credit_spread_proxy,24,p90,0.9,delayed,GLD,778,0.705655526992288,0.5384615384615384,0.13510435298767115,105.11118662440816,1.6356340442646997,0.011721869111118055,0.9830508474576272,0.3444730077120823,0.5989717223650386,0.7299270072992828,0.3250000000000011,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,delayed,QQQ,847,0.9055489964580874,0.5384615384615384,0.3680096860937694,311.70420412142266,5.377201950784935,0.00723619389123098,1.0,0.48642266824085006,0.7237308146399055,0.5361702127659483,0.8978102189781082,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,delayed,SLV,815,0.7766871165644171,0.5384615384615384,0.21946221971531996,178.86170906798577,2.3103379317925867,0.016154577130186754,0.9830508474576272,0.39386503067484663,0.6380368098159509,0.7122302158273393,0.6206896551724146,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,delayed,SPY,807,0.8562577447335812,0.5384615384615384,0.35296897417141865,284.84596215633485,4.521518173850258,0.0059827527183216045,1.0,0.49814126394052044,0.7236679058240396,0.5096525096524788,0.9414316702819752,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,delayed,UNG,1044,0.6561302681992337,0.5384615384615384,0.06745941129174828,70.4276253885852,1.2615533970826127,0.02300000000000002,1.0,0.2998084291187739,0.5440613026819924,0.9411764705882365,0.8888888888888882,,,,
fade_credit_24h,credit_spread_proxy,24,p90,0.9,delayed,USO,583,0.7615780445969125,0.5384615384615384,0.23153452259341747,134.9846266719624,2.441750955466771,0.01588352084712119,0.9830508474576272,0.5180102915951973,0.692967409948542,0.48198198198197917,0.7929515418502194,,,,
fade_credit_72h,credit_spread_proxy,72,all,0.0,immediate,GLD,1833,0.5422804146208402,0.5384615384615384,-0.15491268641440578,-283.9549541976058,0.6490495220358865,0.0013187900101656602,0.5076923076923077,,,,,0.10474631751227496,0.16039279869067102,6.310344827585706,6.723529411764755
fade_credit_72h,credit_spread_proxy,72,all,0.0,immediate,QQQ,1839,0.5263730288200109,0.5384615384615384,-0.1798950287585886,-330.82695788704444,0.6085120857460451,0.0012837179070523952,0.5230769230769231,,,,,0.08374116367591082,0.14192495921696574,6.840909090908222,6.165898617511635
fade_credit_72h,credit_spread_proxy,72,all,0.0,immediate,SLV,1763,0.5570051049347703,0.5384615384615384,-0.13002437565460914,-229.2329742790759,0.6943259862679599,0.002261164499717472,0.5084745762711864,,,,,0.1128757799205899,0.18774815655133295,6.000000000000355,6.44444444444469
fade_credit_72h,credit_spread_proxy,72,all,0.0,immediate,SPY,1837,0.5367446924333152,0.5384615384615384,-0.16144994511869948,-296.58354918305093,0.6369301426809748,0.0010015492715294005,0.5254237288135594,,,,,0.09744148067501361,0.1491562329885683,6.512195121950861,6.079999999999927
