strategy_name,family,horizon_hours,threshold_label,min_entry_abs_ret_60m_slot_percentile,timing_regime,topic_bucket,symbol,trade_count,win_rate,median_r,mean_r,total_r,profit_factor,median_entry_abs_return,median_entry_abs_ret_60m_slot_percentile,contained_within_0_5x_shock_rate_24h,contained_within_1_0x_shock_rate_24h,median_adverse_extension_units_24h,median_favorable_extension_units_24h,contained_within_0_5x_shock_rate_72h,contained_within_1_0x_shock_rate_72h,median_adverse_extension_units_72h,median_favorable_extension_units_72h
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,oil_gas_energy,USO,24,0.9583333333333334,4.255656108597265,3.499450012536301,83.98680030087122,336.9472012035446,0.003890474203133154,0.7,,,,,0.20833333333333334,0.3333333333333333,3.1712962962963873,5.870065789473786
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,fed_inflation_rates,GLD,46,0.8695652173913043,4.724999999999994,3.19697504727228,147.06085217452488,57.222352056842,0.001696297825338866,0.5156368221941993,,,,,0.08695652173913043,0.10869565217391304,6.032077051926206,2.3982758620689593
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,fed_inflation_rates,QQQ,46,0.8913043478260869,3.7902402402402777,3.228327041507165,148.5030439093296,49.70184201202441,0.001322994577975023,0.5242503259452412,,,,,0.06521739130434782,0.15217391304347827,5.239583333332999,5.2736111111110615
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,fed_inflation_rates,SLV,44,0.9318181818181818,5.0,4.007261258094349,176.31949535615138,90.7612323761525,0.004016064257028051,0.5556116015132408,,,,,0.045454545454545456,0.11363636363636363,6.856209150326846,3.5904761904761964
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,fed_inflation_rates,SPY,46,0.8913043478260869,3.267367906066363,2.9874964127583525,137.4248349868842,49.495095872638984,0.0011246996100329198,0.5752986940816893,,,,,0.13043478260869565,0.15217391304347827,4.821356275303547,4.572544858190049
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,fed_inflation_rates,UNG,45,0.8222222222222222,3.000000000000089,2.859790467857616,128.69057105359272,39.14430908594065,0.005405405405405239,0.5409836065573771,,,,,0.06666666666666667,0.13333333333333333,3.520833333333329,5.250000000000133
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,fed_inflation_rates,USO,43,1.0,5.0,4.094116514872869,176.04701013953337,inf,0.002192982456140413,0.47540983606557374,,,,,0.09302325581395349,0.13953488372093023,6.888888888888521,6.676470588235237
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,immigration_border,GLD,83,0.927710843373494,5.0,3.439029541466166,285.43945194169174,84.11007870426735,0.0016239158516331287,0.5833333333333334,,,,,0.07228915662650602,0.1686746987951807,4.741007194244439,4.1428571428575145
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,immigration_border,QQQ,84,0.9285714285714286,5.0,3.5084565668239454,294.7103516132114,84.49021924063535,0.0014104259057358126,0.5353598014888337,,,,,0.08333333333333333,0.17857142857142858,4.22664215276613,5.6936652641420835
long_straddle_72h,long_vol_proxy,72,all,0.0,immediate,immigration_border,SLV,82,0.8292682926829268,5.0,3.2339702538623967,265.18556081671653,36.48215214527097,0.0021183060730423087,0.5125706214689265,,,,,0.14634146341463414,0.23170731707317074,4.000000000000107,7.958333333333112
